mask_set,class,filename,corresponding_image,image_match,mask_match,foreground_pixels,foreground_percentage,duplicate_of_flat_mask,relationship,confidence,evidence
nested,Oil,00000_segmentation.tif,00000.tif,True,,2015200,48.0461,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=2015200 vs flat fg=14539
nested,Oil,00001_segmentation.tif,00001.tif,True,,151004,3.6002,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=151004 vs flat fg=56225
nested,Oil,00002_segmentation.tif,00002.tif,True,,578074,13.7824,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=578074 vs flat fg=16314
nested,Oil,00003_segmentation.tif,00003.tif,True,,427852,10.2008,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=427852 vs flat fg=24791
nested,Oil,00004_segmentation.tif,00004.tif,True,,1783092,42.5122,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1783092 vs flat fg=44049
nested,Oil,00005_segmentation.tif,00005.tif,True,,2527264,60.2547,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=2527264 vs flat fg=55530
nested,Oil,00006_segmentation.tif,00006.tif,True,,1898515,45.2641,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1898515 vs flat fg=89378
nested,Oil,00007_segmentation.tif,00007.tif,True,,235070,5.6045,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=235070 vs flat fg=70772
nested,Oil,00008_segmentation.tif,00008.tif,True,,105027,2.504,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=105027 vs flat fg=100549
nested,Oil,00009_segmentation.tif,00009.tif,True,,76643,1.8273,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=76643 vs flat fg=44991
nested,Oil,00010_segmentation.tif,00010.tif,True,,463290,11.0457,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=463290 vs flat fg=62520
nested,Oil,00011_segmentation.tif,00011.tif,True,,195884,4.6702,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=195884 vs flat fg=49967
nested,Oil,00012_segmentation.tif,00012.tif,True,,878780,20.9517,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=878780 vs flat fg=168158
nested,Oil,00013_segmentation.tif,00013.tif,True,,1268664,30.2473,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1268664 vs flat fg=169200
nested,Oil,00014_segmentation.tif,00014.tif,True,,1248489,29.7663,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1248489 vs flat fg=30809
nested,Oil,00015_segmentation.tif,00015.tif,True,,2286232,54.508,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=2286232 vs flat fg=69326
nested,Oil,00016_segmentation.tif,00016.tif,True,,123188,2.937,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=123188 vs flat fg=80306
nested,Oil,00017_segmentation.tif,00017.tif,True,,287098,6.8449,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=287098 vs flat fg=85664
nested,Oil,00018_segmentation.tif,00018.tif,True,,64996,1.5496,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=64996 vs flat fg=128371
nested,Oil,00019_segmentation.tif,00019.tif,True,,295877,7.0543,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=295877 vs flat fg=88665
nested,Oil,00020_segmentation.tif,00020.tif,True,,59091,1.4088,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=59091 vs flat fg=82831
nested,Oil,00021_segmentation.tif,00021.tif,True,,135389,3.2279,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=135389 vs flat fg=100357
nested,Oil,00022_segmentation.tif,00022.tif,True,,1316067,31.3775,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1316067 vs flat fg=33396
nested,Oil,00023_segmentation.tif,00023.tif,True,,281098,6.7019,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=281098 vs flat fg=33266
nested,Oil,00024_segmentation.tif,00024.tif,True,,76799,1.831,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=76799 vs flat fg=33268
nested,Oil,00025_segmentation.tif,00025.tif,True,,630760,15.0385,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=630760 vs flat fg=101928
nested,Oil,00026_segmentation.tif,00026.tif,True,,252969,6.0313,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=252969 vs flat fg=149042
nested,Oil,00027_segmentation.tif,00027.tif,True,,233777,5.5737,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=233777 vs flat fg=45476
nested,Oil,00028_segmentation.tif,00028.tif,True,,220920,5.2671,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=220920 vs flat fg=98768
nested,Oil,00029_segmentation.tif,00029.tif,True,,343278,8.1844,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=343278 vs flat fg=16235
nested,Oil,00030_segmentation.tif,00030.tif,True,,319274,7.6121,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=319274 vs flat fg=15122
nested,Oil,00031_segmentation.tif,00031.tif,True,,78937,1.882,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=78937 vs flat fg=14840
nested,Oil,00032_segmentation.tif,00032.tif,True,,286411,6.8286,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=286411 vs flat fg=12581
nested,Oil,00033_segmentation.tif,,False,,782448,18.655,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00033.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00034_segmentation.tif,,False,,113912,2.7159,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00034.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00035_segmentation.tif,,False,,493850,11.7743,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00035.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00036_segmentation.tif,00036.tif,True,,775142,18.4808,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=775142 vs flat fg=12746
nested,Oil,00037_segmentation.tif,00037.tif,True,,24761,0.5903,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=24761 vs flat fg=12746
nested,Oil,00038_segmentation.tif,00038.tif,True,,34085,0.8126,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=34085 vs flat fg=12746
nested,Oil,00039_segmentation.tif,00039.tif,True,,66837,1.5935,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=66837 vs flat fg=601885
nested,Oil,00040_segmentation.tif,00040.tif,True,,1142533,27.2401,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1142533 vs flat fg=1100749
nested,Oil,00041_segmentation.tif,00041.tif,True,,134918,3.2167,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=134918 vs flat fg=1366981
nested,Oil,00042_segmentation.tif,00042.tif,True,,752903,17.9506,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=752903 vs flat fg=1335813
nested,Oil,00043_segmentation.tif,00043.tif,True,,106120,2.5301,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=106120 vs flat fg=1043064
